id,planned_departure,planned_arrival,real_departure,real_arrival,id_train,id_route,id_driver
45,2021-03-02 08:08:22.672937,2021-03-02 13:04:33.372831,2021-03-02 09:19:22.672937,2021-03-02 15:36:33.372831,393,126,571
46,2021-06-05 14:30:30.584663,2021-06-05 18:02:38.632950,2021-06-05 16:14:30.584663,2021-06-05 20:57:38.632950,524,42,18
47,2021-04-07 03:22:59.389796,2021-04-07 10:15:11.636899,2021-04-07 03:22:59.389796,2021-04-07 11:35:11.636899,299,211,90
48,2021-06-16 16:03:52.761128,2021-06-16 23:12:58.996777,2021-06-16 17:57:52.761128,2021-06-17 00:07:58.996777,2,647,816
49,2021-03-04 20:36:10.162605,2021-03-05 00:45:34.640605,2021-03-04 21:11:10.162605,2021-03-05 00:45:34.640605,570,463,556
50,2021-01-09 04:13:48.464966,2021-01-09 10:07:06.553237,2021-01-09 05:58:48.464966,2021-01-09 11:41:06.553237,178,882,709
51,2021-06-28 20:43:33.486124,2021-06-29 01:19:28.868143,2021-06-28 20:44:33.486124,2021-06-29 01:22:28.868143,281,9,363
52,2021-01-24 20:16:26.237374,2021-01-25 02:28:17.007204,2021-01-24 20:25:26.237374,2021-01-25 03:50:17.007204,768,740,714
53,2021-05-25 04:36:36.247509,2021-05-25 08:39:42.576302,2021-05-25 04:36:36.247509,2021-05-25 11:05:42.576302,431,501,176
54,2021-02-13 21:20:56.869573,2021-02-14 03:50:10.808687,2021-02-13 22:19:56.869573,2021-02-14 03:50:10.808687,461,65,105
55,2021-05-15 06:51:25.514262,2021-05-15 11:02:56.720845,2021-05-15 06:51:25.514262,2021-05-15 14:00:56.720845,690,380,253
56,2021-01-13 10:33:53.286816,2021-01-13 13:51:11.010095,2021-01-13 10:56:53.286816,2021-01-13 14:35:11.010095,83,31,581
57,2021-03-08 07:39:50.569176,2021-03-08 12:03:44.453710,2021-03-08 07:39:50.569176,2021-03-08 12:11:44.453710,694,463,755
58,2021-05-15 03:30:06.162519,2021-05-15 07:40:25.861112,2021-05-15 05:04:06.162519,2021-05-15 07:40:25.861112,577,661,206
59,2021-04-15 15:30:34.247835,2021-04-15 17:42:38.562912,2021-04-15 18:08:34.247835,2021-04-15 18:24:38.562912,752,870,810
60,2021-05-26 06:32:27.077995,2021-05-26 12:26:21.023774,2021-05-26 06:32:27.077995,2021-05-26 13:15:21.023774,533,679,42
61,2021-06-20 17:40:55.256301,2021-06-21 00:22:56.653656,2021-06-20 18:31:55.256301,2021-06-21 00:22:56.653656,129,825,256
62,2021-01-17 07:21:40.258103,2021-01-17 13:47:19.352079,2021-01-17 08:25:40.258103,2021-01-17 16:17:19.352079,684,532,569
63,2021-02-17 03:14:58.673989,2021-02-17 05:37:23.888073,2021-02-17 05:47:58.673989,2021-02-17 07:50:23.888073,860,78,484
64,2021-06-23 15:24:28.993213,2021-06-23 23:01:37.728749,2021-06-23 17:21:28.993213,2021-06-24 01:48:37.728749,16,18,74
65,2021-05-22 21:45:20.583324,2021-05-23 03:39:18.103243,2021-05-23 00:25:20.583324,2021-05-23 05:14:18.103243,628,305,705
66,2021-05-21 06:03:14.432271,2021-05-21 09:58:52.889917,2021-05-21 08:49:14.432271,2021-05-21 12:28:52.889917,321,709,448
67,2021-03-16 00:41:58.572068,2021-03-16 05:08:28.804247,2021-03-16 00:41:58.572068,2021-03-16 05:08:28.804247,343,446,17
68,2021-01-08 07:30:46.760092,2021-01-08 12:14:59.941974,2021-01-08 07:30:46.760092,2021-01-08 14:32:59.941974,71,522,763
69,2021-02-20 07:19:43.131601,2021-02-20 12:19:53.746375,2021-02-20 09:05:43.131601,2021-02-20 12:34:53.746375,18,76,299
70,2021-05-03 05:48:29.222404,2021-05-03 09:07:33.729323,2021-05-03 06:26:29.222404,2021-05-03 11:35:33.729323,804,742,714
71,2021-06-14 20:31:32.922302,2021-06-15 04:04:39.254784,2021-06-14 21:13:32.922302,2021-06-15 04:04:39.254784,274,699,393
72,2021-06-08 19:18:40.373811,2021-06-09 02:22:40.540979,2021-06-08 22:16:40.373811,2021-06-09 05:08:40.540979,846,494,24
73,2021-03-31 07:31:36.028442,2021-03-31 11:38:06.371844,2021-03-31 08:57:36.028442,2021-03-31 11:43:06.371844,203,538,324
74,2021-03-17 13:13:21.107855,2021-03-17 20:08:28.845625,2021-03-17 15:08:21.107855,2021-03-17 20:08:28.845625,237,659,634
75,2021-03-26 05:31:41.879254,2021-03-26 13:25:06.009478,2021-03-26 08:25:41.879254,2021-03-26 13:48:06.009478,719,58,171
76,2021-03-23 04:51:44.572008,2021-03-23 10:35:38.973257,2021-03-23 06:17:44.572008,2021-03-23 11:28:38.973257,237,414,437
77,2021-04-09 07:23:17.265227,2021-04-09 09:36:53.328127,2021-04-09 07:26:17.265227,2021-04-09 11:34:53.328127,473,480,602
78,2021-01-22 08:55:07.640070,2021-01-22 14:03:05.678283,2021-01-22 10:01:07.640070,2021-01-22 16:25:05.678283,77,502,823
79,2021-05-03 04:06:25.678549,2021-05-03 07:53:32.579803,2021-05-03 05:26:25.678549,2021-05-03 08:47:32.579803,658,883,31
80,2021-03-27 04:13:05.663648,2021-03-27 07:25:26.789880,2021-03-27 06:18:05.663648,2021-03-27 08:51:26.789880,429,621,377
81,2021-04-23 16:37:55.222286,2021-04-23 19:36:08.382319,2021-04-23 16:37:55.222286,2021-04-23 20:02:08.382319,626,644,307
82,2021-01-18 18:41:06.847522,2021-01-18 22:06:01.589065,2021-01-18 21:31:06.847522,2021-01-18 22:06:01.589065,293,745,804
83,2021-04-25 13:01:02.451671,2021-04-25 17:50:21.005984,2021-04-25 15:45:02.451671,2021-04-25 19:55:21.005984,479,730,467
84,2021-02-14 20:43:17.553616,2021-02-15 02:57:45.140394,2021-02-14 23:15:17.553616,2021-02-15 03:55:45.140394,477,724,624
85,2021-04-26 21:32:45.339492,2021-04-27 05:06:19.481172,2021-04-26 21:32:45.339492,2021-04-27 05:06:19.481172,50,187,116
86,2021-04-16 15:06:45.418752,2021-04-16 19:53:15.066427,2021-04-16 15:06:45.418752,2021-04-16 19:53:15.066427,250,902,310
87,2021-05-19 06:21:13.641061,2021-05-19 13:32:39.378290,2021-05-19 06:21:13.641061,2021-05-19 16:07:39.378290,81,3,448
88,2021-01-11 01:55:05.980337,2021-01-11 09:13:10.398274,2021-01-11 02:16:05.980337,2021-01-11 11:28:10.398274,558,538,877
89,2021-04-07 15:14:24.859021,2021-04-07 21:17:25.939368,2021-04-07 16:27:24.859021,2021-04-07 21:32:25.939368,883,508,273
90,2021-03-25 15:46:24.418688,2021-03-25 22:32:46.952270,2021-03-25 16:31:24.418688,2021-03-25 22:32:46.952270,740,849,866
91,2021-02-01 05:14:03.978507,2021-02-01 09:46:37.007500,2021-02-01 05:14:03.978507,2021-02-01 09:57:37.007500,321,468,710
92,2021-04-12 11:19:29.196536,2021-04-12 18:55:04.535417,2021-04-12 11:19:29.196536,2021-04-12 20:50:04.535417,856,213,247
93,2021-01-15 05:57:21.329100,2021-01-15 13:49:10.009981,2021-01-15 07:22:21.329100,2021-01-15 13:49:10.009981,638,138,846
94,2021-02-10 18:45:31.622059,2021-02-10 23:29:15.349781,2021-02-10 18:45:31.622059,2021-02-11 00:31:15.349781,655,87,656
95,2021-01-22 15:21:00.952947,2021-01-22 19:20:24.208032,2021-01-22 17:02:00.952947,2021-01-22 19:20:24.208032,649,662,557
96,2021-06-23 22:01:17.818824,2021-06-24 04:33:35.696571,2021-06-23 22:01:17.818824,2021-06-24 04:33:35.696571,421,735,454
97,2021-04-10 14:34:07.863762,2021-04-10 17:07:39.686495,2021-04-10 14:34:07.863762,2021-04-10 19:37:39.686495,861,620,145
98,2021-04-16 19:24:23.939042,2021-04-17 03:20:12.831090,2021-04-16 21:14:23.939042,2021-04-17 03:20:12.831090,378,838,247
99,2021-01-30 10:41:53.590988,2021-01-30 16:43:06.242778,2021-01-30 13:01:53.590988,2021-01-30 18:55:06.242778,693,641,513
100,2021-06-17 01:40:17.317785,2021-06-17 04:07:03.603309,2021-06-17 03:35:17.317785,2021-06-17 06:35:03.603309,189,727,586
101,2021-01-23 13:37:06.453820,2021-01-23 21:01:33.474748,2021-01-23 14:26:06.453820,2021-01-23 22:20:33.474748,551,676,24
102,2021-06-04 22:11:15.646816,2021-06-05 03:20:37.419216,2021-06-04 22:34:15.646816,2021-06-05 04:00:37.419216,656,762,469
103,2021-04-20 18:19:11.428891,2021-04-20 21:34:52.585901,2021-04-20 19:38:11.428891,2021-04-20 21:39:52.585901,682,559,737
104,2021-01-03 16:14:09.660538,2021-01-03 22:27:09.167635,2021-01-03 16:18:09.660538,2021-01-03 22:31:09.167635,635,844,866
105,2021-04-20 00:33:01.376801,2021-04-20 04:46:51.110435,2021-04-20 01:00:01.376801,2021-04-20 05:58:51.110435,585,760,695
106,2021-04-06 03:33:24.109989,2021-04-06 06:01:01.056666,2021-04-06 04:18:24.109989,2021-04-06 07:36:01.056666,285,284,236
107,2021-04-24 21:52:04.716752,2021-04-25 00:42:43.540766,2021-04-24 22:20:04.716752,2021-04-25 02:50:43.540766,550,37,77
108,2021-06-06 10:21:43.413118,2021-06-06 14:20:02.916327,2021-06-06 10:21:43.413118,2021-06-06 14:20:02.916327,658,724,612
109,2021-05-10 04:16:40.959455,2021-05-10 10:29:27.073813,2021-05-10 06:57:40.959455,2021-05-10 11:58:27.073813,12,836,300
110,2021-03-05 05:10:07.367818,2021-03-05 12:44:10.124314,2021-03-05 06:12:07.367818,2021-03-05 12:44:10.124314,881,552,736
111,2021-06-01 07:13:53.646171,2021-06-01 10:44:43.806023,2021-06-01 08:50:53.646171,2021-06-01 12:50:43.806023,523,321,419
112,2021-04-03 00:23:39.082725,2021-04-03 06:00:43.094587,2021-04-03 02:10:39.082725,2021-04-03 06:16:43.094587,823,77,828
113,2021-03-04 21:55:34.718408,2021-03-05 02:23:04.508592,2021-03-04 22:27:34.718408,2021-03-05 04:56:04.508592,727,113,439
114,2021-06-27 23:22:45.558304,2021-06-28 06:52:24.718255,2021-06-28 00:48:45.558304,2021-06-28 07:28:24.718255,210,3,630
115,2021-03-26 23:40:52.825822,2021-03-27 04:28:39.426695,2021-03-27 00:34:52.825822,2021-03-27 04:28:39.426695,242,347,179
116,2021-04-06 19:56:01.635949,2021-04-07 00:28:33.486337,2021-04-06 20:05:01.635949,2021-04-07 02:35:33.486337,231,235,762
117,2021-04-10 00:12:18.926196,2021-04-10 06:02:00.208673,2021-04-10 00:54:18.926196,2021-04-10 07:36:00.208673,653,492,308
118,2021-05-20 18:33:50.787628,2021-05-21 00:33:43.611273,2021-05-20 19:37:50.787628,2021-05-21 00:35:43.611273,466,540,683
119,2021-03-03 20:01:35.630934,2021-03-04 01:29:12.214721,2021-03-03 22:48:35.630934,2021-03-04 01:29:12.214721,324,487,205
120,2021-01-06 08:18:35.161023,2021-01-06 12:48:13.241792,2021-01-06 09:48:35.161023,2021-01-06 15:33:13.241792,522,180,295
121,2021-01-06 12:33:09.384849,2021-01-06 19:09:56.908186,2021-01-06 13:20:09.384849,2021-01-06 19:09:56.908186,447,132,356
122,2021-04-06 11:36:10.433006,2021-04-06 17:55:08.243493,2021-04-06 11:36:10.433006,2021-04-06 20:19:08.243493,736,709,507
123,2021-03-15 08:08:02.705061,2021-03-15 10:44:48.962628,2021-03-15 09:57:02.705061,2021-03-15 11:55:48.962628,273,873,241
124,2021-02-09 04:47:12.652099,2021-02-09 09:41:34.773162,2021-02-09 07:37:12.652099,2021-02-09 09:41:34.773162,31,124,692
125,2021-03-27 12:27:58.893103,2021-03-27 14:44:31.208683,2021-03-27 12:27:58.893103,2021-03-27 14:52:31.208683,214,1,349
126,2021-01-16 23:13:34.172341,2021-01-17 03:05:03.498430,2021-01-16 23:20:34.172341,2021-01-17 03:05:03.498430,66,489,8
127,2021-06-07 11:23:42.248315,2021-06-07 13:33:11.262703,2021-06-07 13:22:42.248315,2021-06-07 16:08:11.262703,127,882,413
128,2021-01-08 18:26:10.228167,2021-01-08 22:05:04.722710,2021-01-08 21:15:10.228167,2021-01-08 23:35:04.722710,346,915,685
129,2021-06-08 00:23:25.153959,2021-06-08 02:31:56.688259,2021-06-08 03:03:25.153959,2021-06-08 02:46:56.688259,836,216,834
130,2021-01-27 05:24:49.038730,2021-01-27 12:36:52.237727,2021-01-27 05:24:49.038730,2021-01-27 14:41:52.237727,119,312,154
131,2021-05-13 08:19:22.988393,2021-05-13 12:52:12.289261,2021-05-13 10:53:22.988393,2021-05-13 12:52:12.289261,183,292,594
132,2021-04-05 12:47:19.892683,2021-04-05 19:07:14.830370,2021-04-05 13:48:19.892683,2021-04-05 20:08:14.830370,884,14,643
133,2021-06-15 09:00:48.157276,2021-06-15 12:15:13.056592,2021-06-15 10:34:48.157276,2021-06-15 15:13:13.056592,32,858,866
134,2021-02-02 00:39:03.842086,2021-02-02 07:15:17.106629,2021-02-02 01:14:03.842086,2021-02-02 09:03:17.106629,198,121,346
135,2021-04-18 02:20:23.173535,2021-04-18 05:59:28.386518,2021-04-18 04:58:23.173535,2021-04-18 05:59:28.386518,826,569,25
136,2021-03-11 04:02:06.817171,2021-03-11 08:11:13.707874,2021-03-11 05:09:06.817171,2021-03-11 08:11:13.707874,20,892,409
137,2021-06-07 14:39:25.868273,2021-06-07 16:47:06.338426,2021-06-07 15:51:25.868273,2021-06-07 16:47:06.338426,407,310,770
138,2021-02-12 06:17:01.374073,2021-02-12 08:23:18.097768,2021-02-12 07:15:01.374073,2021-02-12 10:09:18.097768,835,514,565
139,2021-05-03 05:22:39.119664,2021-05-03 07:32:25.901271,2021-05-03 06:29:39.119664,2021-05-03 07:32:25.901271,258,67,433
140,2021-02-24 02:23:43.328039,2021-02-24 07:55:44.262576,2021-02-24 05:19:43.328039,2021-02-24 07:55:44.262576,150,163,267
141,2021-01-19 16:56:48.525310,2021-01-19 19:47:35.100616,2021-01-19 18:24:48.525310,2021-01-19 19:47:35.100616,382,394,858
142,2021-01-21 15:17:50.921427,2021-01-21 22:31:16.744836,2021-01-21 17:16:50.921427,2021-01-21 23:32:16.744836,882,574,582
143,2021-05-29 01:07:44.480208,2021-05-29 03:54:03.224649,2021-05-29 03:12:44.480208,2021-05-29 05:38:03.224649,2,528,21
144,2021-05-03 16:11:42.754618,2021-05-03 23:50:24.039269,2021-05-03 18:17:42.754618,2021-05-04 01:23:24.039269,787,889,719
145,2021-02-20 15:28:19.025757,2021-02-20 20:31:33.938216,2021-02-20 15:28:19.025757,2021-02-20 20:31:33.938216,552,358,109
146,2021-06-14 02:16:33.308437,2021-06-14 09:19:00.397559,2021-06-14 04:43:33.308437,2021-06-14 09:19:00.397559,689,769,728
147,2021-01-13 12:33:44.084269,2021-01-13 18:09:36.558251,2021-01-13 13:34:44.084269,2021-01-13 20:32:36.558251,161,41,897
148,2021-02-06 20:42:20.395001,2021-02-07 01:34:33.900264,2021-02-06 21:39:20.395001,2021-02-07 02:57:33.900264,624,776,858
149,2021-01-30 17:10:06.567699,2021-01-30 22:54:28.141759,2021-01-30 19:25:06.567699,2021-01-30 23:59:28.141759,659,381,374
150,2021-02-10 01:04:48.153047,2021-02-10 04:40:49.624214,2021-02-10 02:07:48.153047,2021-02-10 07:08:49.624214,660,777,251
151,2021-06-27 10:08:02.091846,2021-06-27 12:59:21.248794,2021-06-27 12:23:02.091846,2021-06-27 12:59:21.248794,808,456,7
152,2021-03-03 18:28:37.554726,2021-03-04 02:05:00.967144,2021-03-03 20:37:37.554726,2021-03-04 02:14:00.967144,702,494,367
153,2021-01-09 07:44:56.149061,2021-01-09 13:12:15.048427,2021-01-09 07:44:56.149061,2021-01-09 14:24:15.048427,818,125,843
154,2021-03-14 01:56:25.496141,2021-03-14 07:22:33.029629,2021-03-14 01:56:25.496141,2021-03-14 08:47:33.029629,743,528,490
155,2021-03-23 02:50:08.443100,2021-03-23 08:52:16.761155,2021-03-23 05:12:08.443100,2021-03-23 10:00:16.761155,555,760,98
156,2021-04-06 16:31:52.297184,2021-04-06 23:51:15.967219,2021-04-06 16:31:52.297184,2021-04-07 02:03:15.967219,634,592,688
157,2021-03-14 20:16:13.311476,2021-03-15 03:09:55.599152,2021-03-14 20:44:13.311476,2021-03-15 04:30:55.599152,33,158,686
158,2021-04-23 13:17:07.309624,2021-04-23 17:51:26.529298,2021-04-23 14:16:07.309624,2021-04-23 20:04:26.529298,867,26,318
159,2021-01-22 03:27:08.629448,2021-01-22 08:18:55.306980,2021-01-22 04:34:08.629448,2021-01-22 09:15:55.306980,185,558,267
160,2021-01-13 13:50:53.744486,2021-01-13 18:10:09.581319,2021-01-13 15:22:53.744486,2021-01-13 18:10:09.581319,617,853,581
161,2021-06-02 09:59:34.185616,2021-06-02 16:13:01.270242,2021-06-02 09:59:34.185616,2021-06-02 17:20:01.270242,443,60,899
162,2021-05-08 05:41:04.527748,2021-05-08 13:18:03.349037,2021-05-08 05:41:04.527748,2021-05-08 14:55:03.349037,909,884,340
163,2021-02-06 01:32:02.651464,2021-02-06 07:47:46.254608,2021-02-06 01:45:02.651464,2021-02-06 08:50:46.254608,372,680,437
164,2021-05-11 07:36:51.272766,2021-05-11 09:39:04.619084,2021-05-11 07:48:51.272766,2021-05-11 12:28:04.619084,694,222,85
165,2021-06-07 15:58:22.641581,2021-06-07 18:51:44.294237,2021-06-07 15:58:22.641581,2021-06-07 20:04:44.294237,259,321,806
166,2021-05-11 00:12:00.574697,2021-05-11 06:35:33.188665,2021-05-11 01:04:00.574697,2021-05-11 08:55:33.188665,102,335,330
167,2021-02-07 23:01:07.127822,2021-02-08 03:07:13.769961,2021-02-07 23:19:07.127822,2021-02-08 04:08:13.769961,219,656,111
168,2021-06-05 05:19:39.688938,2021-06-05 07:32:33.197646,2021-06-05 07:57:39.688938,2021-06-05 09:37:33.197646,762,483,408
169,2021-06-08 01:13:58.295954,2021-06-08 07:15:22.158888,2021-06-08 04:11:58.295954,2021-06-08 07:15:22.158888,683,700,520
170,2021-01-14 17:09:26.561640,2021-01-14 23:22:53.879160,2021-01-14 18:15:26.561640,2021-01-14 23:50:53.879160,212,553,128
171,2021-05-22 12:37:15.003343,2021-05-22 17:49:57.903913,2021-05-22 12:37:15.003343,2021-05-22 17:49:57.903913,540,21,242
172,2021-04-29 09:00:42.811784,2021-04-29 12:08:06.507294,2021-04-29 10:51:42.811784,2021-04-29 13:48:06.507294,187,89,541
173,2021-06-14 11:52:43.056203,2021-06-14 18:55:36.226202,2021-06-14 11:52:43.056203,2021-06-14 20:04:36.226202,501,835,550
174,2021-01-01 12:35:16.473163,2021-01-01 18:55:27.667138,2021-01-01 14:20:16.473163,2021-01-01 20:47:27.667138,119,769,20
175,2021-05-16 22:10:27.184985,2021-05-17 04:49:47.446030,2021-05-16 22:17:27.184985,2021-05-17 05:59:47.446030,469,602,770
176,2021-05-03 23:43:30.566576,2021-05-04 04:35:47.288471,2021-05-04 02:11:30.566576,2021-05-04 04:35:47.288471,636,627,694
177,2021-06-07 07:39:09.958282,2021-06-07 15:04:21.046971,2021-06-07 08:53:09.958282,2021-06-07 15:04:21.046971,668,297,746
178,2021-05-19 10:03:43.836312,2021-05-19 12:23:41.933447,2021-05-19 11:23:43.836312,2021-05-19 14:10:41.933447,547,486,205
179,2021-04-07 13:09:51.147705,2021-04-07 18:51:15.304150,2021-04-07 13:09:51.147705,2021-04-07 21:02:15.304150,40,132,370
180,2021-05-13 00:28:19.156252,2021-05-13 07:14:29.801548,2021-05-13 00:28:19.156252,2021-05-13 07:14:29.801548,462,153,36
181,2021-04-22 15:58:12.278046,2021-04-22 21:05:13.748344,2021-04-22 16:39:12.278046,2021-04-22 22:11:13.748344,17,540,571
182,2021-03-16 15:58:44.219497,2021-03-16 21:16:58.269920,2021-03-16 15:58:44.219497,2021-03-16 23:24:58.269920,561,247,611
183,2021-01-12 23:09:21.622755,2021-01-13 06:42:41.837328,2021-01-12 23:09:21.622755,2021-01-13 08:48:41.837328,767,487,68
184,2021-03-14 18:47:13.283629,2021-03-14 21:49:52.581933,2021-03-14 21:28:13.283629,2021-03-14 23:10:52.581933,368,241,614
185,2021-05-09 10:18:24.155695,2021-05-09 14:20:46.953324,2021-05-09 11:23:24.155695,2021-05-09 14:20:46.953324,755,7,65
186,2021-05-09 16:27:41.312135,2021-05-10 00:19:43.954813,2021-05-09 17:32:41.312135,2021-05-10 02:27:43.954813,903,776,225
187,2021-06-16 19:32:06.147102,2021-06-17 00:33:59.417104,2021-06-16 22:04:06.147102,2021-06-17 03:08:59.417104,91,903,657
188,2021-03-27 16:19:18.173867,2021-03-27 20:54:23.775893,2021-03-27 19:06:18.173867,2021-03-27 20:58:23.775893,780,190,546
189,2021-01-23 00:57:18.833460,2021-01-23 02:59:49.576660,2021-01-23 02:45:18.833460,2021-01-23 04:02:49.576660,419,761,744
190,2021-05-09 23:22:35.398867,2021-05-10 05:49:03.029800,2021-05-10 01:10:35.398867,2021-05-10 06:57:03.029800,895,205,657
191,2021-05-30 10:25:20.923909,2021-05-30 17:31:41.804789,2021-05-30 10:39:20.923909,2021-05-30 17:31:41.804789,646,913,123
192,2021-03-30 13:39:45.282062,2021-03-30 17:25:27.484590,2021-03-30 13:39:45.282062,2021-03-30 19:55:27.484590,666,431,165
193,2021-03-07 04:26:29.047493,2021-03-07 10:38:38.052343,2021-03-07 04:42:29.047493,2021-03-07 13:22:38.052343,238,409,430
